uid,perc_repeat_2,perc_repeat_7,perc_repeat_30,perc_repeat_inf
2948,0.39588688946015427,0.6195372750642674,0.6812339331619537,0.724935732647815
2949,0.0,0.041666666666666664,0.10416666666666667,0.16666666666666663
2950,0.21882951653944022,0.44529262086513993,0.5979643765903307,0.6641221374045801
2951,0.17518248175182483,0.3284671532846715,0.3795620437956204,0.4744525547445255
2952,0.2845528455284553,0.5788617886178862,0.6926829268292682,0.7154471544715447
2953,0.3081232492997199,0.6050420168067226,0.7254901960784313,0.8067226890756303
2954,0.22085889570552147,0.34355828220858897,0.5214723926380368,0.5705521472392638
2955,0.4930875576036866,0.5852534562211982,0.663594470046083,0.7511520737327189
2956,0.5110732538330494,0.807495741056218,0.8534923339011925,0.9114139693356048
2958,0.08653846153846154,0.22115384615384615,0.25961538461538464,0.34615384615384615
2959,0.19658119658119658,0.4405594405594406,0.6025641025641025,0.7195027195027195
2960,0.5571428571428572,0.6571428571428571,0.6571428571428571,0.6714285714285715
2961,0.5093632958801498,0.7715355805243446,0.8539325842696629,0.9138576779026217
2962,0.1348314606741573,0.3438202247191011,0.48089887640449436,0.5595505617977528
2963,0.08147174770039421,0.14848883048620237,0.24310118265440211,0.3718791064388962
2964,0.386986301369863,0.6061643835616438,0.678082191780822,0.7397260273972603
2965,0.21195652173913043,0.4945652173913043,0.7010869565217391,0.7663043478260869
2966,0.3855421686746988,0.5341365461847389,0.5863453815261044,0.6706827309236948
2967,0.22152690863579474,0.4755944931163955,0.6120150187734669,0.6783479349186483
2968,0.6779661016949152,0.7669491525423728,0.8050847457627118,0.8389830508474576
2969,0.37373737373737376,0.5223665223665224,0.6392496392496393,0.7186147186147186
2970,0.28888888888888886,0.4737777777777778,0.6142222222222222,0.7431111111111111
2972,0.11904761904761904,0.21428571428571427,0.21428571428571427,0.30952380952380953
2973,0.28859060402684567,0.465324384787472,0.6219239373601789,0.7136465324384788
2974,0.26865671641791045,0.373134328358209,0.43283582089552236,0.5174129353233831
2975,0.4132231404958678,0.6663223140495868,0.7933884297520661,0.84400826446281
2977,0.516245487364621,0.6823104693140795,0.7148014440433214,0.8122743682310469
2979,0.2178030303030303,0.4147727272727273,0.5340909090909091,0.6098484848484849
2980,0.125,0.3125,0.40625,0.48958333333333337
2981,0.06818181818181818,0.11363636363636363,0.2878787878787879,0.3560606060606061
2985,0.23856858846918488,0.4135188866799205,0.5447316103379721,0.6361829025844931
2986,0.11374407582938388,0.23696682464454977,0.37203791469194314,0.466824644549763
2988,0.22042139384116693,0.5348460291734197,0.6515397082658023,0.7341977309562399
2990,0.19148936170212766,0.2978723404255319,0.3723404255319149,0.42553191489361697
2991,0.29473684210526313,0.49473684210526314,0.49473684210526314,0.6
2993,0.17884130982367757,0.35768261964735515,0.4836272040302267,0.5214105793450882
2994,0.3767857142857143,0.49464285714285716,0.5892857142857143,0.8803571428571428
2996,0.018518518518518517,0.09722222222222222,0.22685185185185186,0.30092592592592593
2997,0.15748031496062992,0.2755905511811024,0.3858267716535433,0.5039370078740157
2998,0.0981012658227848,0.24050632911392406,0.3037974683544304,0.35443037974683544
2999,0.44052863436123346,0.6277533039647577,0.7202643171806168,0.7731277533039648
