uid,perc_repeat_7,gender,age_group,regions_us
363,0.3399014778325123,Female,18-44,Midwest
364,0.05714285714285714,Male,18-44,West
365,0.6177156177156177,NA,NA,NA
366,0.2245762711864407,Male,18-44,Northeast
371,0.6619718309859155,NA,NA,NA
372,0.34146341463414637,Female,18-44,South
374,0.7066666666666667,Female,18-44,Northeast
376,0.20454545454545456,Female,18-44,South
377,0.1511627906976744,Female,18-44,Midwest
378,0.3333333333333333,Female,18-44,NA
379,0.41333333333333333,Female,45+,West
381,0.2857142857142857,Female,45+,NA
382,0.46116504854368934,Female,18-44,South
383,0.5806451612903226,Female,18-44,Midwest
384,0.3333333333333333,Female,18-44,South
385,0.33043478260869563,Female,45+,NA
387,0.27848101265822783,Female,18-44,NA
388,0.48503937007874015,Female,45+,West
389,0.40540540540540543,Female,18-44,West
391,0.35537190082644626,Female,18-44,West
392,0.22137404580152673,NA,NA,NA
393,0.11627906976744186,Female,18-44,Midwest
394,0.43342776203966005,Female,18-44,Midwest
395,0.24324324324324326,Female,18-44,Northeast
396,0.32371794871794873,Female,18-44,Midwest
397,0.18518518518518517,Female,18-44,South
398,0.35454545454545455,NA,NA,NA
399,0.5150537634408602,Female,18-44,South
401,0.20866141732283464,Female,18-44,South
402,0.4647887323943662,NA,NA,NA
403,0.43201754385964913,Female,18-44,NA
405,0.328125,Female,18-44,West
406,0.4117647058823529,Female,18-44,South
407,0.23076923076923078,Female,18-44,Northeast
408,0.3739669421487603,Female,18-44,Midwest
409,0.4,Male,18-44,Midwest
410,0.205761316872428,Female,18-44,NA
411,0.40217391304347827,NA,NA,NA
412,0.34838709677419355,NA,NA,NA
413,0.3201320132013201,Female,18-44,NA
415,0.2914714151827554,Female,18-44,West
416,0.46551724137931033,Male,18-44,NA
417,0.5734463276836158,Female,18-44,NA
418,0.2413793103448276,Female,18-44,NA
419,0.3211267605633803,Female,18-44,Midwest
420,0.28,Female,18-44,South
422,0.21052631578947367,Female,18-44,West
423,0.3312421580928482,Female,18-44,Northeast
425,0.20754716981132076,Female,18-44,NA
426,0.3275862068965517,Female,18-44,NA
427,0.29411764705882354,Male,18-44,South
429,0.4596774193548387,Female,18-44,West
430,0.017241379310344827,Female,18-44,West
431,0.40397350993377484,Female,45+,Northeast
432,0.45302013422818793,Female,18-44,South
434,0.5166015625,Female,18-44,South
435,0.3826787512588117,Male,18-44,Midwest
436,0.31871838111298484,Female,18-44,South
437,0.6025316455696202,Female,18-44,West
440,0.6410256410256411,Female,18-44,Northeast
441,0.3302752293577982,NA,NA,NA
442,0.21818181818181817,Female,18-44,South
444,0.36160714285714285,NA,NA,NA
446,0.13924050632911392,Female,18-44,Northeast
447,0.24345549738219896,Female,45+,West
448,0.510958904109589,Female,18-44,NA
449,0.31868131868131866,Female,18-44,NA
450,0.6151419558359621,Female,18-44,NA
451,0.7268041237113402,Female,18-44,Midwest
452,0.2909698996655518,NA,NA,NA
454,0.37142857142857144,Female,18-44,Northeast
455,0.43989071038251365,Female,18-44,West
456,0.32142857142857145,Female,45+,South
457,0.12658227848101267,Female,18-44,NA
458,0.2638888888888889,Female,18-44,NA
460,0.5112781954887218,Female,45+,NA
461,0.18691588785046728,Female,18-44,South
462,0.3471698113207547,Female,18-44,Midwest
463,0.21428571428571427,Male,45+,South
464,0.4182638105975197,Female,18-44,NA
465,0.4375,Female,45+,South
466,0.37888198757763975,Female,18-44,South
469,0.5610687022900763,Male,45+,NA
470,0.6306620209059234,Male,18-44,NA
471,0.21359223300970873,Female,18-44,NA
472,0.4402730375426621,Female,18-44,South
473,0.45263157894736844,Female,45+,NA
474,0.2044334975369458,Female,45+,Midwest
476,0.13333333333333333,Female,18-44,Midwest
477,0.2857142857142857,Female,18-44,NA
478,0.4477317554240631,Female,18-44,NA
479,0.375,Female,18-44,NA
481,0.4486301369863014,NA,NA,NA
482,0.48466257668711654,NA,NA,NA
483,0.2023121387283237,Female,18-44,Northeast
484,0.6952380952380952,Female,18-44,West
487,0.21428571428571427,NA,NA,NA
489,0.34306569343065696,Female,18-44,West
490,0.518796992481203,Female,18-44,NA
492,0.14583333333333334,Female,18-44,South
494,0.39303482587064675,Female,45+,Northeast
495,0.417910447761194,NA,NA,NA
497,0.42410714285714285,Female,45+,Northeast
498,0.5590277777777778,Female,18-44,NA
499,0.46604215456674475,NA,NA,NA
501,0.48517520215633425,Female,18-44,NA
503,0.5068181818181818,Female,18-44,South
504,0.296875,Male,45+,NA
505,0.32160804020100503,Female,18-44,South
506,0.5647577092511014,NA,NA,NA
507,0.3782771535580524,NA,NA,NA
508,0.6095679012345679,Female,45+,NA
509,0.02,Female,18-44,Northeast
510,0.19680851063829788,NA,NA,NA
511,0.2698412698412698,Female,18-44,South
512,0.6192236598890942,Female,18-44,NA
514,0.4469565217391304,Male,18-44,West
515,0.5054054054054054,Male,18-44,NA
518,0.20334261838440112,Female,18-44,Midwest
519,0.29554655870445345,NA,NA,NA
520,0.3448275862068966,Male,18-44,South
521,0.13131313131313133,Female,18-44,South
522,0.45698924731182794,Female,18-44,NA
523,0.37037037037037035,Female,18-44,NA
524,0.3611111111111111,NA,NA,NA
526,0.2785714285714286,Male,18-44,NA
