uid,Model,nDCG@5,Gender,US Regions,Age Groups
358,Mixture Decay,0.5004297986676801,Male,West,45+
359,Mixture Decay,0.3573104321997925,,,
360,Mixture Decay,0.6000925169215567,Female,,18-44
361,Mixture Decay,0.6205662953274369,Female,Midwest,18-44
362,Mixture Decay,0.2525473147703064,Female,South,45+
363,Mixture Decay,0.5486700658789699,Female,Midwest,18-44
364,Mixture Decay,0.0,Male,West,18-44
365,Mixture Decay,0.7817954181351787,,,
366,Mixture Decay,0.16313824509945615,Male,Northeast,18-44
371,Mixture Decay,0.7319464866503851,,,
372,Mixture Decay,0.423615538913776,Female,South,18-44
374,Mixture Decay,0.7200933960926208,Female,Northeast,18-44
376,Mixture Decay,0.2029010838087366,Female,South,18-44
377,Mixture Decay,0.07854897152845594,Female,Midwest,18-44
378,Mixture Decay,0.2404139097221235,Female,,18-44
379,Mixture Decay,0.7374135094797174,Female,West,45+
381,Mixture Decay,0.39956341403463497,Female,,45+
382,Mixture Decay,0.7340885459338943,Female,South,18-44
383,Mixture Decay,0.5043818244446836,Female,Midwest,18-44
384,Mixture Decay,0.5855700749881525,Female,South,18-44
385,Mixture Decay,0.5798163279232237,Female,,45+
387,Mixture Decay,0.3636296631068861,Female,,18-44
388,Mixture Decay,0.6252241707179511,Female,West,45+
389,Mixture Decay,0.39264081776170334,Female,West,18-44
391,Mixture Decay,0.3713412524555963,Female,West,18-44
392,Mixture Decay,0.13686639277279314,,,
393,Mixture Decay,0.1917831836856677,Female,Midwest,18-44
394,Mixture Decay,0.30899773293221017,Female,Midwest,18-44
395,Mixture Decay,0.17485998667263644,Female,Northeast,18-44
396,Mixture Decay,0.2550388595437532,Female,Midwest,18-44
397,Mixture Decay,0.5102404246590811,Female,South,18-44
398,Mixture Decay,0.3099097894588249,,,
399,Mixture Decay,0.4060005516106143,Female,South,18-44
401,Mixture Decay,0.2281953095707349,Female,South,18-44
402,Mixture Decay,0.4201834170555178,,,
403,Mixture Decay,0.3933285181901959,Female,,18-44
405,Mixture Decay,0.3500741407835502,Female,West,18-44
406,Mixture Decay,0.3778707603648929,Female,South,18-44
407,Mixture Decay,0.41503490059385184,Female,Northeast,18-44
408,Mixture Decay,0.30618772936357885,Female,Midwest,18-44
409,Mixture Decay,0.6440929667678998,Male,Midwest,18-44
410,Mixture Decay,0.2646716942061405,Female,,18-44
411,Mixture Decay,0.4212440151836896,,,
412,Mixture Decay,0.34662559355773703,,,
413,Mixture Decay,0.1891801657794613,Female,,18-44
415,Mixture Decay,0.18014540119534134,Female,West,18-44
416,Mixture Decay,0.5419169285960496,Male,,18-44
417,Mixture Decay,0.3517225163733249,Female,,18-44
418,Mixture Decay,0.3998385979226061,Female,,18-44
419,Mixture Decay,0.23792967388102115,Female,Midwest,18-44
420,Mixture Decay,0.30935913186648023,Female,South,18-44
422,Mixture Decay,0.3490650166212287,Female,West,18-44
423,Mixture Decay,0.2676657357568976,Female,Northeast,18-44
425,Mixture Decay,0.14658283225090335,Female,,18-44
426,Mixture Decay,0.7698724385020871,Female,,18-44
427,Mixture Decay,0.4388999515170944,Male,South,18-44
429,Mixture Decay,0.3718342608833281,Female,West,18-44
430,Mixture Decay,0.2346393630113783,Female,West,18-44
431,Mixture Decay,0.2993881902790894,Female,Northeast,45+
432,Mixture Decay,0.4778469114757806,Female,South,18-44
434,Mixture Decay,0.5262617558667118,Female,South,18-44
435,Mixture Decay,0.3891955875042477,Male,Midwest,18-44
436,Mixture Decay,0.21944806418581192,Female,South,18-44
437,Mixture Decay,0.6622206348369988,Female,West,18-44
440,Mixture Decay,0.7829206009284932,Female,Northeast,18-44
441,Mixture Decay,0.27724649324479245,,,
442,Mixture Decay,0.7020048148799386,Female,South,18-44
444,Mixture Decay,0.3169113777094449,,,
447,Mixture Decay,0.17794272462761104,Female,West,45+
448,Mixture Decay,0.4800432205932245,Female,,18-44
449,Mixture Decay,0.35878393558016725,Female,,18-44
450,Mixture Decay,0.7161606392139123,Female,,18-44
451,Mixture Decay,0.7444285436948221,Female,Midwest,18-44
452,Mixture Decay,0.2230090442061251,,,
454,Mixture Decay,0.6229316408292194,Female,Northeast,18-44
455,Mixture Decay,0.3412149080601135,Female,West,18-44
456,Mixture Decay,0.5717450595830654,Female,South,45+
457,Mixture Decay,0.2678320410547232,Female,,18-44
458,Mixture Decay,0.5855380600073931,Female,,18-44
460,Mixture Decay,0.5734736249886648,Female,,45+
461,Mixture Decay,0.07958443235104756,Female,South,18-44
462,Mixture Decay,0.25456266457289,Female,Midwest,18-44
463,Mixture Decay,0.2565344222125145,Male,South,45+
464,Mixture Decay,0.433560655957236,Female,,18-44
465,Mixture Decay,0.37116228537349066,Female,South,45+
466,Mixture Decay,0.6420646049763359,Female,South,18-44
469,Mixture Decay,0.7242026623527376,Male,,45+
470,Mixture Decay,0.636079740439747,Male,,18-44
471,Mixture Decay,0.3104985043198165,Female,,18-44
472,Mixture Decay,0.3493139623229627,Female,South,18-44
473,Mixture Decay,0.5513140240675668,Female,,45+
474,Mixture Decay,0.13527147003670725,Female,Midwest,45+
476,Mixture Decay,0.18154407041834325,Female,Midwest,18-44
477,Mixture Decay,0.20884192473081312,Female,,18-44
478,Mixture Decay,0.4580952527478941,Female,,18-44
479,Mixture Decay,0.2280625970737164,Female,,18-44
481,Mixture Decay,0.5484258776662528,,,
482,Mixture Decay,0.5549096085990037,,,
483,Mixture Decay,0.1531482660149536,Female,Northeast,18-44
484,Mixture Decay,0.6957009998541662,Female,West,18-44
487,Mixture Decay,0.8154648767857287,,,
489,Mixture Decay,0.4590137691301706,Female,West,18-44
490,Mixture Decay,0.3720451624816838,Female,,18-44
492,Mixture Decay,0.16510910983642169,Female,South,18-44
494,Mixture Decay,0.2802265437363615,Female,Northeast,45+
495,Mixture Decay,0.5623224562211113,,,
497,Mixture Decay,0.3480735961346971,Female,Northeast,45+
498,Mixture Decay,0.7507191788451607,Female,,18-44
499,Mixture Decay,0.5265705010473956,,,
501,Mixture Decay,0.5380660886561518,Female,,18-44
503,Mixture Decay,0.3896440566836883,Female,South,18-44
504,Mixture Decay,0.2783198073884402,Male,,45+
505,Mixture Decay,0.3669250185413215,Female,South,18-44
506,Mixture Decay,0.6322553681607676,,,
507,Mixture Decay,0.4289652981009851,,,
